Soil Type, Temperature, Humidity, pH Level, Rainfall, Crop Type
Clay, 25, 60, 6.5, 100, Wheat
Loam, 28, 70, 6.8, 80, Corn
Sandy, 30, 55, 7.2, 50, Soybeans
Silt, 27, 65, 6.3, 120, Barley
Peat, 22, 75, 7.0, 90, Potato
Clay, 24, 62, 6.6, 110, Wheat
Loam, 26, 68, 6.9, 85, Corn
Sandy, 31, 58, 7.3, 55, Soybeans
Silt, 29, 63, 6.7, 70, Rice
Peat, 23, 72, 7.1, 95, Carrot
Clay, 23, 63, 6.4, 105, Wheat
Loam, 25, 73, 7.2, 75, Corn
Sandy, 32, 48, 7.6, 40, Soybeans
Silt, 28, 67, 6.8, 115, Barley
Peat, 21, 77, 7.3, 60, Potato
Clay, 27, 72, 7.0, 90, Wheat
Loam, 29, 68, 7.5, 65, Corn
Sandy, 30, 52, 7.9, 55, Soybeans
Silt, 26, 64, 6.5, 80, Rice
Peat, 24, 70, 7.1, 100, Carrot
Clay, 22, 62, 6.6, 110, Wheat
Loam, 26, 70, 7.0, 90, Corn
Sandy, 29, 55, 7.5, 60, Soybeans
Silt, 27, 66, 6.8, 105, Barley
Peat, 23, 73, 7.2, 75, Potato
Clay, 25, 63, 6.7, 100, Wheat
Loam, 28, 72, 7.1, 85, Corn
Sandy, 30, 57, 7.6, 50, Soybeans
Silt, 29, 62, 6.5, 90, Rice
Peat, 26, 68, 7.0, 110, Carrot
Clay, 21, 65, 6.4, 120, Wheat
Loam, 27, 75, 7.2, 80, Corn
Sandy, 31, 50, 7.7, 60, Soybeans
Silt, 28, 64, 6.9, 105, Barley
Peat, 24, 70, 7.3, 95, Potato
Clay, 23, 63, 6.6, 100, Wheat
Loam, 25, 73, 7.1, 75, Corn
Silt, 27, 67, 6.8, 115, Barley
Peat, 22, 75, 7.2, 90, Potato
Clay, 24, 62, 6.7, 105, Wheat
Loam, 26, 70, 7.0, 90, Corn
Sandy, 29, 55, 7.5, 60, Soybeans
Silt, 25, 66, 6.5, 80, Rice
Peat, 23, 72, 7.1, 100, Carrot
Clay, 21, 65, 6.4, 120, Wheat
Loam, 27, 75, 7.2, 80, Corn
Sandy, 31, 50, 7.7, 60, Soybeans
Silt, 28, 64, 6.9, 105, Barley
Peat, 24, 70, 7.3, 95, Potato
Clay, 23, 63, 6.6, 100, Wheat
Loam, 25, 73, 7.1, 75, Corn
Sandy, 32, 48, 7.6, 50, Soybeans
Silt, 27, 67, 6.8, 115, Barley
Peat, 22, 75, 7.2, 90, Potato
Clay, 24, 62, 6.7, 105, Wheat
Loam, 26, 70, 7.0, 90, Corn
Sandy, 29, 55, 7.5, 60, Soybeans
Silt, 25, 66, 6.5, 80, Rice
Peat, 23, 72, 7.1, 100, Carrot
Clay, 21, 65, 6.4, 120, Wheat
Loam, 27, 75, 7.2, 80, Corn
Sandy, 31, 50, 7.7, 60, Soybeans
Silt, 28, 64, 6.9, 105, Barley
Peat, 24, 70, 7.3, 95, Potato
Clay, 23, 63, 6.6, 100, Wheat
Loam, 25, 73, 7.1, 75, Corn
Sandy, 32, 48, 7.6, 50, Soybeans
Silt, 27, 67, 6.8, 115, Barley
Peat, 22, 75, 7.2, 90, Potato
Clay, 24, 62, 6.7, 105, Wheat
Loam, 26, 70, 7.0, 90, Corn
Sandy, 29, 55, 7.5, 60, Soybeans
Silt, 25, 66, 6.5, 80, Rice
Peat, 23, 72, 7.1, 100, Carrot
Clay, 21, 65, 6.4, 120, Wheat 
