Crop,Pearson_Correlation,RMSE,MAE
Barley,0.415141093,0.273536428,0.166498061
Rye,0.675458434,0.260161007,0.137567027
Sorghum,0.670959098,0.248110132,0.148453494
Soybean,0.624897735,0.24459309,0.146098696
Sugarcane,0.529534627,0.156103486,0.060116201
Sunflower,0.596381187,0.291084776,0.175248967
Wheat,0.58022326,0.258212629,0.149325197
Sugarbeet,0.252278384,0.222329166,0.111960136
Cassava,0.717596711,0.171699314,0.081634077
Peanut,0.531852618,0.203056024,0.114224601
Maize,0.603732988,0.257438967,0.148453802
Millet,0.299687251,0.219645998,0.116569146
Oilpalm,0.645997397,0.112311648,0.03942864
Potato,0.521349046,0.240200893,0.146017398
Rapeseed,0.429911395,0.273342059,0.155262848
Rice,0.428418159,0.180300826,0.078462833
,0.532713711,0.225757903,0.12345757
