feature,importance_mean,importance_std
sample_count,0.0,0.0
ph_count,0.0,0.0
ph_min,0.0,0.0
nitrogen_missing_ratio,0.0,0.0
nitrogen_range,0.0,0.0
nitrogen_count,0.0,0.0
nitrogen_max,0.0,0.0
ph_missing_ratio,0.0,0.0
ph_cv,0.0,0.0
temperature_mean_min,0.0,0.0
temperature_mean_max,0.0,0.0
temperature_mean_median,0.0,0.0
temperature_mean_std,0.0,0.0
potassium_range,0.0,0.0
temperature_mean_mean,0.0,0.0
potassium_missing_ratio,0.0,0.0
potassium_cv,0.0,0.0
potassium_max,0.0,0.0
potassium_median,0.0,0.0
potassium_count,0.0,0.0
potassium_min,0.0,0.0
phosphorus_missing_ratio,0.0,0.0
potassium_mean,0.0,0.0
phosphorus_cv,0.0,0.0
phosphorus_count,0.0,0.0
rainfall_mean_cv,0.0,0.0
rainfall_mean_min,0.0,0.0
rainfall_mean_max,0.0,0.0
temperature_mean_count,0.0,0.0
temperature_mean_range,0.0,0.0
temperature_mean_missing_ratio,0.0,0.0
rainfall_mean_mean,0.0,0.0
rainfall_mean_std,0.0,0.0
rainfall_mean_missing_ratio,0.0,0.0
rainfall_mean_range,0.0,0.0
rainfall_mean_count,0.0,0.0
rainfall_mean_median,-0.0003418803418803407,0.001490221861039541
temperature_mean_cv,-0.002905982905982901,0.012666885818836123
context_cluster_count,-0.004786324786324769,0.0031333850905680845
context_sample_count,-0.004786324786324769,0.0031333850905680845
ph_mean,-0.005811965811965802,0.017435897435897407
ph_std,-0.005811965811965802,0.017435897435897407
potassium_std,-0.005811965811965802,0.017435897435897407
ph_range,-0.00769230769230767,0.011935247900657196
nitrogen_median,-0.01457264957264955,0.02377002060910903
nitrogen_cv,-0.02324786324786321,0.028472701283633477
nitrogen_mean,-0.024273504273504228,0.031083861457829164
nitrogen_min,-0.024316239316239267,0.031050736242470983
phosphorus_mean,-0.029059829059829012,0.029059829059829016
phosphorus_min,-0.029059829059829012,0.029059829059829016
phosphorus_median,-0.034871794871794815,0.028472701283633477
phosphorus_max,-0.03662393162393156,0.02269271009027219
nitrogen_std,-0.04068376068376062,0.02663377326982877
phosphorus_range,-0.04170940170940164,0.02513692505251524
ph_median,-0.04358974358974352,0.025166550195445184
phosphorus_std,-0.04534188034188027,0.021938482782768862
ph_max,-0.05115384615384607,0.01607036494328846
